Date,Jupiter_Lon,Jupiter_Speed,Jupiter_Retro,Saturn_Lon,Saturn_Speed,Saturn_Retro,Uranus_Lon,Uranus_Speed,Uranus_Retro,Neptune_Lon,Neptune_Speed,Neptune_Retro,Pluto_Lon,Pluto_Speed,Pluto_Retro,Mars_Lon,Mars_Speed,Mars_Retro,Saturn_Neptune_Angle,is_hard_aspect,aspect_intensity,dist_to_exact,is_applying,retrograde_count,Global_Stability_Index,Havoc_Velocity,Havoc_Alert_Level,OOB_Count,True_Node_Lon,Mars_Volatility_Score,Flash_Crash_Probability,is_uranus_stationary,is_hard_flash,Bullish_Probability,Havoc_Score
2026-01-01,111.29228053630383,-0.13099456084398742,1,356.19662248500646,0.059104505949067125,0,57.935630029051154,-0.027100713389760587,1,359.51305059056756,0.012726228654504979,0,302.7336154878478,0.030229423741193855,0,283.07142437907163,0.766697600753464,0,3.3164281055611013,1,6.683571894438899,3.3164281055611013,0,2,650,0.5,0,1,180,0.0,0.4,0,0,0.5622899,0.4377101
2026-02-01,107.30514054656416,-0.1104423329424656,1,358.690088971777,0.09897148943854638,0,57.46272985234838,-0.002247642266607122,1,0.1536968017314505,0.02782574638224186,0,303.71275947150417,0.03173784334994495,0,307.11916994454833,0.7828490695561863,0,1.4636078299544124,1,8.536392170045588,1.4636078299544124,1,2,650,0.5,0,1,180,0.0,0.4,0,0,0.6264717,0.3735283
2026-03-01,105.23951563791483,-0.03146562278095881,1,1.7837473200376395,0.1194047743787206,0,57.743232617279475,0.022002326584798795,0,1.0619180441093465,0.0360176896681663,0,304.54684842884143,0.026903124362537143,0,329.1377349933544,0.7879464188017934,0,0.7218292759282929,1,9.278170724071707,0.7218292759282929,1,1,650,0.5,0,1,180,0.0,0.4,0,0,0.7589672,0.24103278
2026-04-01,105.81375983478502,0.06656797019512,0,5.609869363826209,0.1243344775309191,0,58.78257997131357,0.043699207411692496,0,2.222784635923192,0.037467405293365605,0,305.2242121645181,0.015959434652150717,0,353.508917590819,0.7820608117300147,0,3.3870847279030167,1,6.612915272096983,3.3870847279030167,0,0,650,0.5,0,1,180,0.0,0.4,0,0,0.771193,0.22880697
2026-05-01,108.98444729539077,0.14033769634551582,0,9.202609333915467,0.11241442627711436,0,60.30130792086132,0.0558604279474309,0,3.2746701465525847,0.03145322627045486,0,305.50329570231816,0.002363095132226135,0,16.75640043986183,0.7658577913794711,0,5.927939187362882,1,4.072060812637118,5.927939187362882,0,0,650,0.5,0,1,180,0.0,0.4,0,0,0.36837465,0.63162535
2026-06-01,114.16213954285536,0.18932001341356855,0,12.286609947393234,0.083868671130828,0,62.0929254199891,0.057908247330980094,0,4.070022414965066,0.018977934137971785,0,305.3586467062894,-0.011292328358848164,1,40.130195308580504,0.7406839784253408,0,8.216587532428168,0,1.7834124675718321,8.216587532428168,0,1,650,0.5,0,1,180,0.0,0.4,0,0,0.72440773,0.27559227
2026-07-01,120.26881185115361,0.21444953191215085,0,14.208050628482672,0.042233696536338614,0,63.73248490190688,0.0498147479142288,0,4.408250207998977,0.00327921452977258,0,304.86559745821,-0.020613418043028194,1,61.91397715499216,0.7106198936092971,0,9.799800420483695,0,0.20019957951630474,9.799800420483695,0,1,650,0.5,0,1,180,0.0,0.4,0,0,0.6313386,0.3686614
2026-08-01,127.07236497057816,0.22133510792098915,0,14.722492062018357,-0.009685497556769371,1,65.02585457955323,0.03219945770324064,0,4.25260818956274,-0.012950672321525294,1,304.16364346474364,-0.023344556052427884,1,83.40618346931674,0.6750626481816072,0,10.469883872455618,0,0.0,10.469883872455618,0,3,650,0.5,0,1,180,0.0,0.4,0,0,0.5786121,0.4213879
2026-09-01,133.80464240946577,0.20971795214571784,0,13.652381546823365,-0.056876439374851886,1,65.6598914923999,0.00791340532142756,0,3.6537228563997477,-0.02455023292907158,1,303.50268874798195,-0.018048385916313085,1,103.71056891000528,0.6335705570454778,0,9.998658690423618,0,0.0013413095763823435,9.998658690423618,1,3,650,0.5,0,1,180,0.0,0.4,0,0,0.38569775,0.6143023
2026-10-01,139.68073503807824,0.17840830865536328,0,11.539260842041024,-0.07839519639721153,1,65.51746107815748,-0.017030177009247843,1,2.8481464311986437,-0.027555010377810572,1,303.1188410970549,-0.006750789118031215,1,121.97948025468278,0.5818909463615195,0,8.691114410842381,0,1.3088855891576188,8.691114410842381,1,4,650,0.5,0,1,180,0.0,0.4,0,0,0.7801025,0.21989751
