Price,Close,High,Low,Open,Volume
Ticker,IWM,IWM,IWM,IWM,IWM
Date,,,,,
2000-05-26,32.66813278198242,32.66813278198242,32.377848621923796,32.53415547733998,74800
2000-05-30,33.873939514160156,33.873939514160156,33.13706409954758,33.13706409954758,57600
2000-05-31,33.99674987792969,34.43217623104603,33.98558509964465,33.98558509964465,36000
2000-06-01,34.76712417602539,34.76712417602539,34.69455310757832,34.69455310757832,7000
2000-06-02,36.5757942199707,36.5757942199707,36.341334000611916,36.341334000611916,29400
2000-06-05,36.441837310791016,36.84376933995415,36.397178196439555,36.48649642514248,48400
2000-06-06,36.79910659790039,37.44666369215956,36.687458823028116,37.01681975890131,151800
2000-06-07,36.84377670288086,36.84377670288086,36.2408785386519,36.57582196322355,131000
2000-06-08,36.754459381103516,37.245709749502225,36.754459381103516,37.245709749502225,91400
2000-06-09,37.402000427246094,37.402000427246094,37.08938669233179,37.11171624482567,41600
2000-06-12,36.29112243652344,37.51366601652631,36.263210482642094,37.51366601652631,85200
2000-06-13,36.754459381103516,36.754459381103516,35.86127689310586,36.20180271665497,168200
2000-06-14,36.5757942199707,37.0558794310387,36.5757942199707,37.0558794310387,43200
2000-06-15,36.620479583740234,36.620479583740234,36.00083427371048,36.35252485507872,26800
2000-06-16,36.41952133178711,36.79912394530052,36.41952133178711,36.77679437979973,30200
2000-06-19,37.335018157958984,37.335018157958984,36.45300068353352,36.62047235589279,59200
2000-06-20,37.580657958984375,37.63648187157942,37.245714483414105,37.390856656161226,47000
2000-06-21,37.78083419799805,37.847861106687574,37.26696123137832,37.26696123137832,66800
2000-06-22,36.641380310058594,37.892549393816694,36.641380310058594,37.892549393816694,139600
2000-06-23,36.39561080932617,36.99885297743655,36.10516087653229,36.99885297743655,235800
2000-06-26,36.84246063232422,36.84246063232422,36.37327223130614,36.54083951738402,93600
2000-06-27,36.26155090332031,37.22226975041999,36.26155090332031,36.89830641825847,112800
2000-06-28,37.17757797241211,37.31163173913956,36.41793996095657,36.41793996095657,170600
2000-06-29,36.59666442871094,37.06585243420723,36.48495299883086,36.99882557627919,212200
2000-06-30,36.948585510253906,36.948585510253906,36.31741541763733,36.619036523843484,1171800
2000-07-03,37.46803283691406,37.46803283691406,36.82010621063469,36.864790805550506,15800
2000-07-05,37.043540954589844,37.26696400015432,36.91507270339027,37.255792847876094,138800
2000-07-06,37.47921371459961,37.47921371459961,36.708404252212915,37.05470995270549,154600
2000-07-07,37.71379470825195,37.859019628633256,37.48478617995836,37.48478617995836,71800
2000-07-10,37.959590911865234,38.09364479383768,37.69148314792034,37.69148314792034,44800
2000-07-11,37.91488265991211,38.10479220770778,37.78082886146811,37.892540360171445,253200
2000-07-12,38.67452621459961,38.67452621459961,38.07128403794208,38.11596864362041,45200
2000-07-13,38.79741668701172,38.79741668701172,38.60750707466527,38.708047457672215,102600
2000-07-14,38.83090591430664,38.99847311474237,38.51811380682661,38.99847311474237,54800
2000-07-17,38.9649772644043,39.03200417483618,38.76389653310863,38.86443689875646,46600
2000-07-18,38.29469680786133,38.70802929966146,38.29469680786133,38.70802929966146,235400
2000-07-19,37.62441635131836,38.171802456192054,37.62441635131836,38.171802456192054,35400
2000-07-20,38.2500114440918,38.2500114440918,37.98190388724069,37.98190388724069,150400
