Date,Close,Mahadasha,Antardasha,SMI_Base,Tithi,Nakshatra,Sun_Deg,Moon_Deg,Mercury_Deg,Venus_Deg,Mars_Deg,Jupiter_Deg,Jup_Debilitated,Saturn_Deg,Sat_Debilitated,Uranus_Deg,Neptune_Deg,Pluto_Deg,True_Node_Deg,Lilith_Deg,Ketu_Deg,Sun_Speed,Moon_Speed,Mercury_Speed,Venus_Speed,Mars_Speed,Jupiter_Speed,Saturn_Speed,Uranus_Speed,Neptune_Speed,Pluto_Speed,True_Node_Speed,Lilith_Speed,Ketu_Speed
1998-12-22,5.73662805557251,Moon,Mercury,1.85,4,22,246.58698959802285,287.78095012112095,225.18288014477116,259.6265832326753,169.72948813788298,326.81933422422884,0,2.9754545354431086,1,286.6421023775729,276.8871508952433,224.93260351751564,119.42283577254481,193.301563442733,299.42283577254483,1.0186650998602895,12.92430190820993,1.134771492388662,1.2549884182068578,0.5175811623685384,0.12271768167832736,-0.01331051714299046,0.04778683335608052,0.033738865161000484,0.037002067909968475,-0.02829458741833645,0.18403237243879897,0
1998-12-23,5.856061458587647,Moon,Mercury,2.05,5,23,247.6056912350893,300.80716416222117,226.3400377578013,260.88151560838384,170.2459596602354,326.94337575117294,0,2.963064736579322,1,286.690135402534,276.92102224524297,224.96950481516822,119.41113614257024,193.48720916851684,299.41113614257023,1.0187300077234758,13.132345082157876,1.1785829721928083,1.254873029108722,0.515355145707093,0.12535881054447423,-0.011468163813484653,0.04827686767814556,0.03400193811949486,0.036798570070957146,0.0026225411760252525,0.18724009496185523,0
1998-12-24,5.825239181518555,Moon,Mercury,2.05,6,24,248.62444656294727,314.05481311816305,227.5382871379046,262.1363256521484,170.76018713144745,327.0700409038621,0,2.952520156220889,1,286.738652553241,276.9551522857687,225.0061981577474,119.4234436056599,193.67600615562188,299.4234436056599,1.018772694953778,13.367780610936,1.217079358532893,1.254743849642986,0.5130933603476283,0.12796479758206034,-0.009620317044598288,0.048755068614943255,0.034256270485986694,0.036586200663649454,0.019420952930925096,0.19033434741600294,0
1998-12-28,5.794417858123779,Moon,Mercury,2.0,10,1,252.6996362374764,9.720080013436037,232.65247616681145,267.1540939717052,172.79397971164676,327.60222124133156,0,2.928870527620778,1,286.9373249126915,277.0940847227281,225.1507194066789,119.38351431795105,194.46033649390273,299.38351431795104,1.0187866812692976,14.462900064838617,1.3307513247097196,1.2541139393703362,0.5037173309139654,0.13802776883024337,-0.002200271942304827,0.05054923365579676,0.03518649308829094,0.035652077670524016,-0.07124101761586486,0.20149273826371347,0
1998-12-29,5.852210998535156,Moon,Mercury,4.0,11,2,253.71841842577285,24.289186404389483,233.99388660086083,268.4081210438138,173.29648819957478,327.7414651601138,0,2.9275986739781894,1,286.9880850034363,277.12937776088256,225.18624556508996,119.29884769200629,194.66307155140186,299.2988476920063,1.018773335131757,14.661747050619695,1.3516679740929374,1.2539387178307715,0.5012935845167488,0.1404533743208155,-0.0003437133240411652,0.05096865788722735,0.0353977688420771,0.03539858071862917,-0.09595927136000112,0.20395395020019383,0
1998-12-30,5.763595581054688,Moon,Mercury,4.05,13,3,254.7371883442095,39.010823242687934,235.35509259622378,269.66197181158435,173.7965560822203,327.88311719562995,0,2.9281829411256584,1,287.03925887812517,277.16487795085663,225.2215144250714,119.19514603423352,194.86819828189115,299.1951460342335,1.018763088655413,14.76243637675462,1.370399781819644,1.2537618193076294,0.4988356928816867,0.14284416922300963,0.001511879492353093,0.051376852822975334,0.03560083231920046,0.03513751610665447,-0.1100349995685919,0.20627559851473795,0
1998-12-31,5.755891799926758,Moon,Mercury,4.05,14,5,255.7559512172759,53.77233588853386,236.73407224994662,270.9156459801933,174.29414766005831,328.0271431118781,0,2.930622157796945,1,287.090835452092,277.2005771785414,225.25651849909846,119.08129617762192,195.07557584805323,299.08129617762194,1.0187600686111948,14.738427990395369,1.3872652001271149,1.2535859397390343,0.4963403446250128,0.1452013492187463,0.003366133953552654,0.05177410052307819,0.03579588409581614,0.03486902770449519,-0.11611940215128023,0.2084553306154439,0
1999-01-04,5.752041339874268,Moon,Mercury,6.5,18,9,259.8311246451392,110.76034782724605,242.39690173429605,275.9286408286192,176.25888298501513,328.6263466200695,0,2.9589002827033055,1,287.30095483052537,277.34520687798704,225.39373925227324,118.76948662466008,195.92475585951573,298.7694866246601,1.018848787761942,13.529007132373096,1.4410764563470935,1.2529223699811556,0.48588648275794394,0.15432010940133098,0.010769200227126604,0.05325722562861841,0.036497818370227836,0.033721082907627105,-0.016377675990636758,0.2157646308722369,0
1999-01-05,5.721219539642334,Moon,Mercury,4.1,19,10,260.84999452734695,124.07976201643542,243.84355266188157,277.18148506815476,176.74339630153656,328.7817730898448,0,2.9705934824249187,1,287.3543853479182,277.38178348428204,225.42730820993393,118.76669624649574,196.1412775614078,298.7666962464957,1.0188885018585765,13.112220179865323,1.4520980578938614,1.2527654084707893,0.4831289687943028,0.15652728409118238,0.01261675082085221,0.053601625556001536,0.036653669769345205,0.033415158659216966,0.009527058351842563,0.2172575750659016,0
1999-01-06,5.909998893737793,Moon,Mercury,4.1,20,11,261.86890449434725,136.99480087170843,245.30088175573195,278.4341727689964,177.22511936827576,328.9393926483042,0,2.9841334850926424,1,287.40815489615755,277.41851194243816,225.46056734867102,118.78576201247861,196.35923126863514,298.7857620124786,1.0189284768909528,12.725391980232784,1.4624545891697838,1.2526089443274482,0.4803054833006917,0.15870628541735246,0.01446275617204678,0.05393524410216337,0.0368014709989291,0.03310143262296843,0.026796958790934095,0.21863008974549197,0
1999-01-07,5.883030414581299,Moon,Mercury,4.1,21,12,262.8878530141317,149.54931108349754,246.76828570084152,279.68670342790097,177.70398481621658,329.0991770956883,0,2.9995185798801924,1,287.4622525466648,277.4553841054167,225.49350881007067,118.81582802475788,196.5785010598084,298.8158280247579,1.0189651500883636,12.394691323558689,1.4722669380726325,1.2524509942775932,0.4774133444661796,0.1608570301942498,0.016306853716356838,0.054257813912980936,0.036941042604804984,0.03277979576006943,0.030661090018536313,0.21989142461098543,0
1999-01-08,5.909998893737793,Moon,Mercury,3.95,22,13,263.906835232555,161.80859046091288,248.24527462183246,280.9390746206575,178.17992288381274,329.26109807233865,0,3.0167466054542773,1,287.51666714744977,277.4923916726094,225.52612467577435,118.84210941201104,196.79898079777166,298.84210941201104,1.0189954640383394,12.13698387954199,1.4816414383462997,1.252289720145851,0.47445041580872416,0.16297930025964186,0.018148512795379473,0.0545690937918697,0.03707226591780553,0.0324502270141591,0.019795746586487518,0.22105180251024845,0
